#time,msd
5320.0,423540.11092950706
5324.0,424444.4815090214
5328.0,423829.25433925306
5332.0,422584.8720571883
5336.0,426351.0584484517
5340.0,424568.6386077235
5344.0,426393.98267496267
5348.0,426465.0177742142
5352.0,423138.382253191
5356.0,422129.4401249252
5360.0,426916.1476056526
5364.0,425722.70992449
5368.0,422479.25992739
5372.0,423565.35105386865
5376.0,421589.72127755
5380.0,418588.39262694895
5384.0,416665.6588077266
5388.0,417335.53563772584
5392.0,416464.61439622944
5396.0,414719.0121983309
5400.0,416125.2063036549
5404.0,416553.46964182495
5408.0,415077.64257337403
5412.0,413534.6406712154
5416.0,415453.2340179003
5420.0,416576.85322485934
5424.0,414392.38710711483
5428.0,416735.85080049245
5432.0,419876.57628406724
5436.0,417326.5610282753
5440.0,417075.2306816773
5444.0,418229.4130504985
5448.0,420161.6045820665
5452.0,422570.80730457156
5456.0,418035.07631838945
5460.0,418840.5393219699
5464.0,417004.92462495953
5468.0,416364.03769476793
5472.0,415328.1173782062
5476.0,416025.9447153468
5480.0,418743.8346522994
5484.0,419146.37171887624
5488.0,418231.24402710696
5492.0,419576.6541496966
5496.0,420651.90321034915
5500.0,421594.7414706196
5504.0,423678.581171841
5508.0,420156.36688325385
5512.0,418886.81535454077
5516.0,420838.5864115848
5520.0,423763.30433841806
5524.0,425306.8063447835
5528.0,424458.56419590284
5532.0,424833.53244522866
5536.0,426366.9415821564
5540.0,425319.7819037276
5544.0,425296.5914735729
5548.0,421339.60690389364
5552.0,423005.0295098577
5556.0,423092.43637140817
5560.0,422063.4498069218
5564.0,422970.3759459178
5568.0,422017.37551121763
5572.0,422495.704335931
5576.0,422002.3302314373
5580.0,421201.5190733966
5584.0,418500.0590393425
5588.0,416425.72284335794
5592.0,415004.443633677
5596.0,414881.6498485844
5600.0,417096.99501167465
5604.0,418305.47132590966
5608.0,421552.9573117544
5612.0,418522.52389056515
5616.0,417877.6218945028
5620.0,417153.1139692801
5624.0,419777.30448224396
5628.0,419460.0561710849
