original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi
210,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.94741726,5.082925013214888,0.13550775321488828,0.8,46.05,1.245,46.05,1.245,273.3312713,1
211,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,4.95437674,5.261900509964069,0.30752376996406916,0.8,46.05,1.245,46.05,1.245,274.6953294,1
212,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.010052583,5.361133134609226,0.35108055160922547,0.8,46.05,1.245,46.05,1.245,275.6077946,1
213,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.119857717,5.473505690888089,0.3536479738880889,0.8,46.05,1.245,46.05,1.245,277.129601,1
214,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.276059388,5.535041376761372,0.2589819887613718,0.8,46.05,1.245,46.05,1.245,277.7451284,1
215,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.43535416,5.657047979053122,0.22169381905312147,0.8,46.05,1.245,46.05,1.245,278.9669038,1
216,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.647231673,5.851616480204475,0.20438480720447494,0.8,46.05,1.245,46.05,1.245,280.4948964,1
217,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.856016084,5.97767399921891,0.12165791521890945,0.8,46.05,1.245,46.05,1.245,281.4166409,1
218,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,5.910918651,6.058527400875192,0.14760874987519212,0.8,46.05,1.245,46.05,1.245,282.1775441,1
219,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,6.170739251,6.150915521041021,0.019823729958978298,0.8,46.05,1.245,46.05,1.245,283.1023817,1
220,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,6.484689143,6.562388520651361,0.07769937765136081,0.75,46.05,1.245,46.05,1.245,284.6365605,1
221,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,6.596040829,6.723629805579846,0.12758897657984658,0.75,46.05,1.245,46.05,1.245,286.4614909,1
222,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,7.065419115,7.067269326491992,0.0018502114919920487,0.7,46.05,1.245,46.05,1.245,288.459635,1
223,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,7.226260439,7.285835342588496,0.05957490358849604,0.7,46.05,1.245,46.05,1.245,289.9845345,1
224,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,7.696412001,7.577308321868081,0.11910367913191866,0.7,46.05,1.245,46.05,1.245,292.1342406,1
225,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,8.064491185,7.833263077584013,0.23122810741598698,0.7,46.05,1.245,46.05,1.245,294.2777606,1
226,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,8.638261676,8.076763010576677,0.5614986654233238,0.7,46.05,1.245,46.05,1.245,296.736777,1
227,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,8.849365914,8.247970340106285,0.6013955738937149,0.7,46.05,1.245,46.05,1.245,298.1132075,1
228,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,8.9607176,8.32160964671252,0.6391079532874802,0.7,46.05,1.245,46.05,1.245,299.938138,1
229,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,9.638107021,8.560663729197332,1.077443291802668,0.7,46.05,1.245,46.05,1.245,302.7064646,1
230,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,9.799721621,8.676925970856674,1.1227956501433258,0.7,46.05,1.245,46.05,1.245,304.3829261,1
231,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,10.11444479,8.782082511060048,1.3323622789399518,0.7,46.05,1.245,46.05,1.245,306.0686669,1
232,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,10.78951438,8.909802318388747,1.8797120616112526,0.7,46.05,1.245,46.05,1.245,308.3823075,1
