original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
145,10.1016/j.jpowsour.2011.07.071,7.039127745,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
146,10.1016/j.jpowsour.2011.07.071,7.091710486,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
147,10.1016/j.jpowsour.2011.07.071,7.302041448,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
148,10.1016/j.jpowsour.2011.07.071,7.455150015,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
149,10.1016/j.jpowsour.2011.07.071,7.508506032,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
150,10.1016/j.jpowsour.2011.07.071,7.667800804,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
151,10.1016/j.jpowsour.2011.07.071,7.772966285,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
152,10.1016/j.jpowsour.2011.07.071,7.982523972,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
153,10.1016/j.jpowsour.2011.07.071,8.242344572,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
154,10.1016/j.jpowsour.2011.07.071,8.501391896,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
