original_row_index,doi,original_salt,rejection_reason
438,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
439,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
440,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
441,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
442,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
443,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
444,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
445,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
446,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
447,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
448,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
449,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
450,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
451,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
452,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
