source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,weighted_permittivity,weighted_viscosity_mPa_s_25C,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
82,131,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,82,6,6,0.9448105888567919,False
83,132,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,83,6,6,0.9448105888567919,False
84,133,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,84,6,6,0.9448105888567919,False
85,134,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,85,6,6,0.9448105888567919,False
86,135,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,86,6,6,0.9448105888567919,False
87,136,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,87,6,6,0.9448105888567919,False
88,137,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,88,6,6,0.9448105888567919,False
89,138,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,89,6,6,0.9448105888567919,False
90,139,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,90,6,6,0.9448105888567919,False
91,140,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,91,6,6,0.9448105888567919,False
92,141,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,92,6,6,0.9448105888567919,False
93,142,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,93,6,6,0.9448105888567919,False
94,143,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,94,6,6,0.9448105888567919,False
95,144,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,95,6,6,0.9448105888567919,False
96,145,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,96,6,6,0.9448105888567919,False
97,146,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,97,6,6,0.9448105888567919,False
98,147,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,98,6,6,0.9448105888567919,False
99,148,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,99,6,6,0.9448105888567919,False
100,149,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,100,6,6,0.9448105888567919,False
101,150,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,101,6,6,0.9448105888567919,False
102,151,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,102,6,6,0.9448105888567919,False
103,152,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,103,6,6,0.9448105888567919,False
104,153,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,104,6,6,0.9448105888567919,False
