doi,conductivity_mScm,temperature_K,concentration_molkg,salt,EC,PC,DMC,EMC,DEC,DME
10.1149/1.1513556,12.96802877,323.15,1.35272255,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,15.27735038,333.15,1.350184834,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.275552003,243.15,1.56996703,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.80287741,253.15,1.569387551,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.584873614,263.15,1.567429314,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.675791787,273.15,1.567329404,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.112298931,283.15,1.565750824,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.767009691,293.15,1.563932461,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,7.658107703,303.15,1.561854331,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.731042062,313.15,1.559576381,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.89509442,323.15,1.5550005,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,14.20441603,333.15,1.552462783,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.071935258,243.15,1.809751224,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.417424318,253.15,1.809371566,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,0.999300629,263.15,1.808732141,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.890298731,273.15,1.807753022,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.145069438,283.15,1.805275252,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.61784394,293.15,1.80475572,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.381856329,303.15,1.800619443,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.327205515,313.15,1.801778399,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.45469078,323.15,1.799440504,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,12.7096613,333.15,1.794764712,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1566019,0.583492958,233.75,0.284,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,1.006028169,243.65,0.284,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,1.513070423,253.35,0.284,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,2.161014085,263.15,0.282,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,2.921633803,272.95,0.28,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,3.766535211,282.85,0.286,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,4.61171831,292.65,0.282,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,5.513014085,302.55,0.286,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,6.499042254,312.45,0.282,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,7.52715493,322.35,0.284,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,8.541295775,332.15,0.282,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,0.623380282,233.75,0.368,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,1.088112676,243.65,0.37,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,1.693746479,253.35,0.37,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,2.426140845,263.15,0.37,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,3.299323944,272.95,0.372,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,4.257126761,282.85,0.37,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,5.285183099,292.65,0.374,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,6.412,302.55,0.372,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,7.566929577,312.45,0.372,PF6,0.0,0.8,0.0,0.0,0.2,0.0
10.1149/1.1566019,8.764169014,322.35,0.37,PF6,0.0,0.8,0.0,0.0,0.2,0.0
